iter	Logloss
0	0.6715003602
1	0.6512401634
2	0.6326671395
3	0.6126205842
4	0.5966047891
5	0.5810817485
6	0.5654686894
7	0.5508250208
8	0.5390740342
9	0.5265791654
10	0.5162142425
11	0.5090401532
12	0.5006437712
13	0.4932809202
14	0.485199104
15	0.4779392106
16	0.4720493365
17	0.4650589442
18	0.4590470368
19	0.4503824845
20	0.4439602256
21	0.4371817004
22	0.431821956
23	0.4272094579
24	0.4226500467
25	0.4178374745
26	0.4144819827
27	0.4117137001
28	0.4068302961
29	0.4042457105
30	0.4007458563
31	0.3964959092
32	0.3944734311
33	0.3921038548
34	0.3902280682
35	0.3866335743
36	0.3838053287
37	0.3812154935
38	0.3786214809
39	0.3770099827
40	0.3754046213
41	0.3738321989
42	0.3720538615
43	0.3703253577
44	0.3690748579
45	0.3676768164
46	0.3670882023
47	0.3655912329
48	0.3644026555
49	0.3626648726
50	0.3610082727
51	0.359657588
52	0.3585455725
53	0.357490119
54	0.3559253122
55	0.3545411339
56	0.3534503385
57	0.35174494
58	0.3500837561
59	0.3486802432
60	0.3473073034
61	0.3462593545
62	0.3450983187
63	0.344304529
64	0.3435104065
65	0.3422641211
66	0.3412051186
67	0.3406452662
68	0.3395817905
69	0.3383489247
70	0.3378722886
71	0.3373264842
72	0.3357472226
73	0.3348660761
74	0.3337600126
75	0.3327404186
76	0.3313907321
77	0.3306646318
78	0.3292662206
79	0.3280800092
80	0.3277045561
81	0.3267952395
82	0.3259774571
83	0.3250576414
84	0.3239507646
85	0.3231279545
86	0.3220116138
87	0.3216172327
88	0.3206389327
89	0.3195436641
90	0.3187009649
91	0.3180279145
92	0.3175180806
93	0.3165883203
94	0.3159928302
95	0.3157777838
96	0.3144429217
97	0.313571276
98	0.3130622554
99	0.3123856192
100	0.3120444729
101	0.3112259512
102	0.3108762652
103	0.3100256732
104	0.3098002017
105	0.3085417167
106	0.3080056166
107	0.3077186293
108	0.3074196458
109	0.306794248
110	0.3067307544
111	0.3061044324
112	0.3057169461
113	0.3056548019
114	0.3053426021
115	0.3044366865
116	0.3042987937
117	0.3029607337
118	0.3026468518
119	0.3022084597
120	0.3007689579
121	0.3003108061
122	0.2993240587
123	0.2988369605
124	0.2985016183
125	0.2977658878
126	0.2973580317
127	0.2970454992
