iter	Passed	Remaining
0	53	53311
1	55	27889
2	58	19286
3	59	14908
4	61	12310
5	63	10568
6	65	9285
7	67	8342
8	69	7627
9	71	7050
10	73	6575
11	75	6181
12	76	5839
13	78	5560
14	80	5318
15	83	5106
16	85	4916
17	86	4745
18	88	4590
19	90	4452
20	92	4323
21	94	4218
22	96	4116
23	98	4018
24	100	3931
25	102	3848
26	104	3777
27	106	3702
28	108	3632
29	110	3572
30	112	3520
31	114	3471
32	116	3419
33	118	3371
34	120	3323
35	122	3281
36	124	3239
37	126	3202
38	128	3167
39	130	3131
40	132	3100
41	134	3068
42	136	3037
43	138	3009
44	140	2981
45	142	2958
46	144	2931
47	146	2905
48	148	2883
49	150	2859
50	152	2840
51	154	2818
52	156	2798
53	158	2777
54	160	2759
55	162	2742
56	164	2726
57	166	2711
58	169	2697
59	171	2683
60	173	2666
61	175	2653
62	177	2638
63	179	2623
64	181	2609
65	183	2594
66	185	2580
67	187	2568
68	189	2554
69	191	2549
70	193	2538
71	195	2525
72	197	2513
73	200	2503
74	201	2490
75	203	2478
76	205	2467
77	207	2456
78	209	2446
79	211	2435
80	213	2424
81	215	2414
82	217	2404
83	219	2394
84	221	2384
85	223	2375
86	225	2365
87	227	2355
88	229	2346
89	231	2337
90	233	2329
91	235	2320
92	237	2312
93	239	2305
94	241	2296
95	243	2289
96	245	2282
97	247	2275
98	250	2275
99	252	2269
100	254	2263
101	256	2254
102	258	2249
103	260	2243
104	262	2237
105	266	2248
106	271	2263
107	275	2273
108	280	2289
109	284	2301
110	286	2298
111	289	2299
112	293	2304
113	296	2307
114	298	2299
115	300	2291
116	302	2283
117	304	2276
118	307	2278
119	311	2281
120	313	2280
121	316	2275
122	318	2267
123	319	2260
124	321	2253
125	323	2246
126	325	2240
127	328	2234
128	330	2228
129	331	2221
130	333	2215
131	335	2209
132	337	2202
133	339	2196
134	341	2190
135	343	2184
136	345	2177
137	347	2171
138	349	2165
139	351	2159
140	353	2153
141	355	2147
142	357	2142
143	359	2136
